,,high_cut,mean_std,median_std,comb_std
0,0,0.37,1958.218356184535,1347.2436153232732,1308.079239522064
0,1,0.42,1645.3729279900228,1284.8524635699305,1241.2886052948527
0,2,0.47,1464.20933269952,1223.4192198081023,1182.1352854100105
0,3,0.52,1429.960213493035,1211.6718077546209,1138.0554501511579
0,4,0.57,1315.8277313463539,1141.6168893097342,1064.3749441569234
0,5,0.6199999999999999,1278.6943853366176,1163.0371420860808,1094.838981712254
0,6,0.6699999999999999,1267.8004140094295,1174.1092057766248,1110.0277296601391
0,7,0.72,1200.8148609716557,1162.1718902744808,1100.7752329442262
0,8,0.7699999999999999,1153.104730176743,1162.255249460975,1101.1799533535982
0,9,0.8199999999999998,1142.3912818413614,1165.0522885191463,1098.0544203611591
0,10,0.8699999999999999,1178.2697801826957,1173.486439154686,1104.2794563295956
0,11,0.9199999999999998,1285.3215786608523,1211.2739547396013,1149.95115117489
0,12,0.9699999999999999,1644.6584564127188,1361.970398402167,1294.2250645869274
1,0,0.37,1787.731755011333,1270.0832485249148,1225.7498332677872
1,1,0.42,1533.3298924841188,1196.9049891378813,1146.4220732454824
1,2,0.47,1451.9961126850176,1162.4612671966918,1118.5161219133213
1,3,0.52,1340.963520377062,1210.5041888400651,1173.356771084096
1,4,0.57,1271.8883311594518,1163.229321094014,1132.8161236108156
1,5,0.6199999999999999,1249.3181044473456,1124.6454814993983,1089.1184013775498
1,6,0.6699999999999999,1198.5849426205248,1118.555235658527,1084.6759631983598
1,7,0.72,1212.7885785750516,1117.654999660396,1086.9700478158568
1,8,0.7699999999999999,1209.9063422419952,1086.0924822914003,1052.177366437528
1,9,0.8199999999999998,1223.0378020164899,1104.3430755318304,1061.4243070586851
1,10,0.8699999999999999,1201.7480172054363,1112.4310203275468,1071.4848950362423
1,11,0.9199999999999998,1262.4056005221903,1149.359051072659,1100.29911307433
1,12,0.9699999999999999,1603.2301910806302,1401.0972572242258,1348.13305556589
2,0,0.37,1765.529408504793,1367.7317290970987,1348.3824550145052
2,1,0.42,1575.5082468419444,1318.7728412419056,1302.9311077410832
2,2,0.47,1470.26577254508,1236.9456269712916,1222.407903955408
2,3,0.52,1384.5317903805876,1229.8623534492258,1212.2187510530648
2,4,0.57,1259.7564677143819,1187.4120523421163,1171.6946329099171
2,5,0.6199999999999999,1172.5207810399963,1145.7456641461388,1127.0297872235046
2,6,0.6699999999999999,1125.197320242011,1093.7678388936724,1073.116060068774
2,7,0.72,1092.9260071808214,1061.0495140306473,1034.2113066774932
2,8,0.7699999999999999,1115.0934582918426,1083.1012647505463,1060.1711671660148
2,9,0.8199999999999998,1138.0953207203072,1112.3928643310846,1086.9530704881254
2,10,0.8699999999999999,1171.682623328181,1155.557430421386,1129.3336687744861
2,11,0.9199999999999998,1264.4898648225267,1206.4858564729388,1173.3478233843775
2,12,0.9699999999999999,1595.7654779956881,1511.04800186913,1478.4743976105926
3,0,0.37,1749.7923513387802,1215.156462303254,1165.6968257413178
3,1,0.42,1457.4604644280114,1131.247496741796,1087.8910351406962
3,2,0.47,1305.1324673744662,1134.7592825859213,1100.7993794654683
3,3,0.52,1219.185279006438,1130.6193845787664,1098.537629270814
3,4,0.57,1195.904620011893,1140.805853489847,1117.6339778878846
3,5,0.6199999999999999,1113.823253889961,1095.6004320801742,1068.1612687150307
3,6,0.6699999999999999,1131.6095630408058,1115.8794266624893,1090.2035296902413
3,7,0.72,1125.0071364111188,1119.186559607284,1087.9907647251464
3,8,0.7699999999999999,1158.4413428371554,1130.074142672153,1103.0096012871868
3,9,0.8199999999999998,1155.3772543004695,1142.9541743393936,1111.1631229795678
3,10,0.8699999999999999,1157.0261034454952,1118.029580985061,1091.579441937162
3,11,0.9199999999999998,1281.2173956863253,1118.1965631879664,1091.294338753826
3,12,0.9699999999999999,1658.9772948660627,1447.256338568426,1381.1640189117625
4,0,0.37,1764.263285144465,1251.221469565072,1216.1574137339123
4,1,0.42,1530.9344259029676,1096.7289879724121,1075.655919291826
4,2,0.47,1328.2452172129233,1070.3634761635608,1038.4121966976331
4,3,0.52,1283.7610318393606,1042.0578240643827,1019.9849160379748
4,4,0.57,1174.357502241226,1087.8066789096483,1060.3421330465794
4,5,0.6199999999999999,1099.8055153210591,1048.4599840135322,1030.559818791359
4,6,0.6699999999999999,1005.0732613823113,1009.3016247564993,995.8166230792258
4,7,0.72,1042.806646755836,1021.3330868634669,1031.0818221604281
4,8,0.7699999999999999,1044.7162591782649,1032.6426104278562,1037.744692932431
4,9,0.8199999999999998,1039.5117687145096,1044.5489056980405,1046.0739086998797
4,10,0.8699999999999999,1077.642348177602,1063.3962519102618,1064.0696300765198
4,11,0.9199999999999998,1214.8900092979625,1136.6282578148775,1135.9868323166681
4,12,0.9699999999999999,1531.5144868351,1413.7712880478077,1384.9734584097102
5,0,0.37,1787.097874407162,1264.2998554618866,1214.0405499742012
5,1,0.42,1438.7940724235214,1072.07456543131,1027.6308717822671
5,2,0.47,1288.9783926350892,1059.5664594223094,1022.4759329247815
5,3,0.52,1261.6093649161064,1070.3691603987695,1053.3103553842573
5,4,0.57,1202.710509175324,1059.8498400651386,1051.290806909555
5,5,0.6199999999999999,1186.59221274104,1091.865892716541,1068.9025104969207
5,6,0.6699999999999999,1159.5666597908091,1082.7071738712953,1058.3527510316912
5,7,0.72,1157.4566404470306,1107.4492106318692,1077.0218136911901
5,8,0.7699999999999999,1145.6981499644987,1091.6689401894514,1054.1170500624364
5,9,0.8199999999999998,1148.2035526947793,1058.715260332812,1020.9725638142554
5,10,0.8699999999999999,1188.119195281454,1072.5446471966193,1029.6928850221823
5,11,0.9199999999999998,1342.7432549984796,1136.3410538563758,1094.50922326415
5,12,0.9699999999999999,1690.6624580618368,1396.72165706113,1338.7633495158188
6,0,0.37,1720.6961137114847,1262.100036914159,1226.0109148866416
6,1,0.42,1476.5492307017148,1170.5804266603834,1140.2291391134067
6,2,0.47,1329.9402739068312,1156.9428221382555,1123.9184242932529
6,3,0.52,1229.2628463057488,1126.5660871657803,1099.8404933502434
6,4,0.57,1184.0518774513148,1118.9779220695332,1096.733412166917
6,5,0.6199999999999999,1154.6379672837045,1148.7933840130352,1126.9866232045836
6,6,0.6699999999999999,1099.9960835628476,1132.527104632917,1106.012426849699
6,7,0.72,1124.690715798415,1117.620059573236,1081.3581186197146
6,8,0.7699999999999999,1101.613973581687,1115.4805849966847,1076.7642724749305
6,9,0.8199999999999998,1096.7400644009626,1111.2033089813438,1073.4134601612068
6,10,0.8699999999999999,1172.299100364261,1120.2109061669873,1080.4845082755148
6,11,0.9199999999999998,1172.4961553358712,1167.9264647596888,1126.8789378945407
6,12,0.9699999999999999,1552.1466734329842,1441.527364889682,1397.5733392267323
7,0,0.37,1509.625477479555,1238.4618441463979,1173.5915956442911
7,1,0.42,1301.3140472528494,1101.5476504865942,1039.3579075763373
7,2,0.47,1232.3789142743062,1064.9702293446408,1012.9715773428481
7,3,0.52,1198.5411988949195,1107.7445863195062,1065.1276773872419
7,4,0.57,1042.1554609275213,1040.077922128351,996.5828898059846
7,5,0.6199999999999999,1038.3574460030384,1039.1203070219751,995.2009825932047
7,6,0.6699999999999999,1023.0749336788501,1040.4791590195239,993.16672616816
7,7,0.72,1014.650147672782,1039.5063406929191,987.7270498817783
7,8,0.7699999999999999,1003.885827475076,1038.9676095162022,985.1844129382312
7,9,0.8199999999999998,1027.5566984618524,1053.9496078719726,1004.7647269230996
7,10,0.8699999999999999,1062.334922648456,1107.2773930624337,1062.3069762115838
7,11,0.9199999999999998,1186.9700732644794,1188.7647528352393,1147.867719570707
7,12,0.9699999999999999,1424.7163712883475,1438.4062494226903,1386.8376606940349
